basket_uid,run_id,capital_group,kill_type,reason_code,pl_at_signal_yen,actual_final_profit_swap_yen,kill_cost_yen,eligibility_state_at_signal,blocking_gate_that_would_prevent,all_gates_pass,data_source
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.01T09:10:17#4,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,BASKETCLOSE_KILL,M30_ENTRY_REGIME_MISMATCH,-67.00,403.00,-470.00,HTE=false;REC=false;BC=false,gate_m15_reverse_confirmed;gate_market_state_valid,false,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.01T12:06:00#8,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,BASKETCLOSE_KILL,M5_REVERSE_WARNING,-1451.00,408.00,-1859.00,HTE=false;REC=false;BC=false,gate_m15_reverse_confirmed;gate_market_state_valid,false,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.01T15:08:04#10,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,BASKETCLOSE_KILL,M5_REVERSE_WARNING,-2082.00,402.00,-2484.00,HTE=false;REC=false;BC=false,gate_m15_reverse_confirmed;gate_market_state_valid,false,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.01T20:30:52#14,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,BASKETCLOSE_KILL,M5_REVERSE_WARNING,-730.00,400.00,-1130.00,HTE=false;REC=false;BC=false,gate_m15_reverse_confirmed;gate_market_state_valid,false,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.01T20:30:52#14,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,BASKETCLOSE_KILL,M15_REVERSE_CONFIRMED,-4097.00,400.00,-4497.00,HTE=false;REC=false;BC=false,gate_market_state_valid,UNKNOWN,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.01T20:30:52#14,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,BASKETCLOSE_KILL,M15_REVERSE_WITH_M5_PROXY,-4086.00,400.00,-4486.00,HTE=false;REC=false;BC=false,gate_market_state_valid,UNKNOWN,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.02T03:44:53#24,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,BASKETCLOSE_KILL,M5_REVERSE_WARNING,2.00,408.00,-406.00,HTE=false;REC=false;BC=false,gate_m15_reverse_confirmed;gate_market_state_valid,false,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.20T09:05:04#44,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,BASKETCLOSE_KILL,M5_REVERSE_WARNING,-464.00,402.00,-866.00,HTE=false;REC=false;BC=false,gate_m15_reverse_confirmed;gate_market_state_valid,false,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.20T09:31:38#46,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,BASKETCLOSE_KILL,M5_REVERSE_WARNING,0.00,400.00,-400.00,HTE=false;REC=false;BC=false,gate_m15_reverse_confirmed;gate_market_state_valid,false,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.20T09:56:04#48,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,BASKETCLOSE_KILL,M5_REVERSE_WARNING,-1427.00,405.00,-1832.00,HTE=false;REC=false;BC=false,gate_m15_reverse_confirmed;gate_market_state_valid,false,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.20T09:56:04#48,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,BASKETCLOSE_KILL,M15_REVERSE_CONFIRMED,-1357.00,405.00,-1762.00,HTE=false;REC=false;BC=false,gate_market_state_valid,UNKNOWN,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.20T09:56:04#48,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,BASKETCLOSE_KILL,M15_REVERSE_WITH_M30_ADVERSE,-1357.00,405.00,-1762.00,HTE=false;REC=false;BC=false,gate_market_state_valid,UNKNOWN,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.20T09:56:04#48,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,BASKETCLOSE_KILL,M15_REVERSE_WITH_M5_PROXY,-1122.00,405.00,-1527.00,HTE=false;REC=false;BC=false,gate_market_state_valid,UNKNOWN,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.20T09:56:04#48,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,BASKETCLOSE_KILL,M15_REVERSE_M30_M5_COMBO,-1122.00,405.00,-1527.00,HTE=false;REC=false;BC=false,gate_market_state_valid,UNKNOWN,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.20T17:36:02#52,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,BASKETCLOSE_KILL,M5_REVERSE_WARNING,-316.00,400.00,-716.00,HTE=false;REC=false;BC=false,gate_m15_reverse_confirmed;gate_market_state_valid,false,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.20T17:36:02#52,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,BASKETCLOSE_KILL,M15_REVERSE_CONFIRMED,-2667.00,400.00,-3067.00,HTE=false;REC=false;BC=false,gate_market_state_valid,UNKNOWN,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.21T02:15:56#54,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,BASKETCLOSE_KILL,M5_REVERSE_WARNING,-273.00,400.00,-673.00,HTE=false;REC=false;BC=false,gate_m15_reverse_confirmed;gate_market_state_valid,false,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.04.21T03:27:20#56,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,BASKETCLOSE_KILL,M5_REVERSE_WARNING,-354.00,407.00,-761.00,HTE=false;REC=false;BC=false,gate_m15_reverse_confirmed;gate_market_state_valid,false,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.01T02:46:04#62,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,BASKETCLOSE_KILL,M5_REVERSE_WARNING,-829.00,416.00,-1245.00,HTE=false;REC=false;BC=false,gate_m15_reverse_confirmed;gate_market_state_valid,false,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.01T02:46:04#62,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,BASKETCLOSE_KILL,M15_REVERSE_CONFIRMED,-2074.00,416.00,-2490.00,HTE=false;REC=false;BC=false,gate_market_state_valid,UNKNOWN,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.01T05:43:39#64,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,BASKETCLOSE_KILL,M5_REVERSE_WARNING,-934.00,401.00,-1335.00,HTE=false;REC=false;BC=false,gate_m15_reverse_confirmed;gate_market_state_valid,false,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.01T13:08:59#68,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,BASKETCLOSE_KILL,M5_REVERSE_WARNING,-789.00,402.00,-1191.00,HTE=false;REC=false;BC=false,gate_m15_reverse_confirmed;gate_market_state_valid,false,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.04T04:47:25#70,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,BASKETCLOSE_KILL,M5_REVERSE_WARNING,-1652.00,409.00,-2061.00,HTE=false;REC=false;BC=false,gate_m15_reverse_confirmed;gate_market_state_valid,false,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.04T05:43:25#72,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,BASKETCLOSE_KILL,M5_REVERSE_WARNING,-1300.00,408.00,-1708.00,HTE=false;REC=false;BC=false,gate_m15_reverse_confirmed;gate_market_state_valid,false,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.04T05:43:25#72,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,BASKETCLOSE_KILL,M15_REVERSE_CONFIRMED,-2182.00,408.00,-2590.00,HTE=false;REC=false;BC=false,gate_market_state_valid,UNKNOWN,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.04T14:51:29#78,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,BASKETCLOSE_KILL,M5_REVERSE_WARNING,-1860.00,402.00,-2262.00,HTE=false;REC=false;BC=false,gate_m15_reverse_confirmed;gate_market_state_valid,false,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.04T20:05:52#80,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,BASKETCLOSE_KILL,M5_REVERSE_WARNING,-329.00,402.00,-731.00,HTE=false;REC=false;BC=false,gate_m15_reverse_confirmed;gate_market_state_valid,false,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.05T02:00:00#84,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,BASKETCLOSE_KILL,M5_REVERSE_WARNING,-231.00,406.00,-637.00,HTE=false;REC=false;BC=false,gate_m15_reverse_confirmed;gate_market_state_valid,false,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.05T02:00:00#84,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,BASKETCLOSE_KILL,M15_REVERSE_CONFIRMED,-519.00,406.00,-925.00,HTE=false;REC=false;BC=false,gate_market_state_valid,UNKNOWN,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.05T02:00:00#84,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,BASKETCLOSE_KILL,M15_REVERSE_WITH_M5_PROXY,-231.00,406.00,-637.00,HTE=false;REC=false;BC=false,gate_market_state_valid,UNKNOWN,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.05T20:35:26#86,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,BASKETCLOSE_KILL,M5_REVERSE_WARNING,-2.00,401.00,-403.00,HTE=false;REC=false;BC=false,gate_m15_reverse_confirmed;gate_market_state_valid,false,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.05T20:35:26#86,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,BASKETCLOSE_KILL,M30_ENTRY_REGIME_MISMATCH,-66.00,401.00,-467.00,HTE=false;REC=false;BC=false,gate_m15_reverse_confirmed;gate_market_state_valid,false,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.05T21:35:00#88,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,BASKETCLOSE_KILL,M30_ENTRY_REGIME_MISMATCH,-74.00,401.00,-475.00,HTE=false;REC=false;BC=false,gate_m15_reverse_confirmed;gate_market_state_valid,false,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.15T01:05:00#94,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,BASKETCLOSE_KILL,M5_REVERSE_WARNING,-478.00,409.00,-887.00,HTE=false;REC=false;BC=false,gate_m15_reverse_confirmed;gate_market_state_valid,false,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.15T07:01:01#102,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,BASKETCLOSE_KILL,M5_REVERSE_WARNING,-1046.00,404.00,-1450.00,HTE=false;REC=false;BC=false,gate_m15_reverse_confirmed;gate_market_state_valid,false,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.15T19:31:03#116,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,BASKETCLOSE_KILL,M5_REVERSE_WARNING,-965.00,403.00,-1368.00,HTE=false;REC=false;BC=false,gate_m15_reverse_confirmed;gate_market_state_valid,false,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529|GOLD#2026.05.15T19:31:03#116,ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,100000,BASKETCLOSE_KILL,M15_REVERSE_CONFIRMED,-2272.00,403.00,-2675.00,HTE=false;REC=false;BC=false,gate_market_state_valid,UNKNOWN,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529|GOLD#2026.03.03T01:20:55#4,ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,100000,BASKETCLOSE_KILL,M30_ENTRY_REGIME_MISMATCH,-68.00,404.00,-472.00,HTE=false;REC=false;BC=false,gate_m15_reverse_confirmed;gate_market_state_valid,false,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529|GOLD#2026.03.03T03:45:23#8,ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,100000,BASKETCLOSE_KILL,M5_REVERSE_WARNING,-3711.00,401.00,-4112.00,HTE=false;REC=false;BC=false,gate_m15_reverse_confirmed;gate_market_state_valid,false,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529|GOLD#2026.03.03T05:46:00#10,ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,100000,BASKETCLOSE_KILL,M5_REVERSE_WARNING,-827.00,401.00,-1228.00,HTE=false;REC=false;BC=false,gate_m15_reverse_confirmed;gate_market_state_valid,false,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529|GOLD#2026.03.04T14:16:50#34,ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,100000,BASKETCLOSE_KILL,M5_REVERSE_WARNING,-1104.00,402.00,-1506.00,HTE=false;REC=false;BC=false,gate_m15_reverse_confirmed;gate_market_state_valid,false,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529|GOLD#2026.03.04T16:34:28#36,ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,100000,BASKETCLOSE_KILL,M30_ENTRY_REGIME_MISMATCH,-68.00,404.00,-472.00,HTE=false;REC=false;BC=false,gate_m15_reverse_confirmed;gate_market_state_valid,false,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529|GOLD#2026.03.04T16:47:03#38,ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,100000,BASKETCLOSE_KILL,M30_ENTRY_REGIME_MISMATCH,-77.00,401.00,-478.00,HTE=false;REC=false;BC=false,gate_m15_reverse_confirmed;gate_market_state_valid,false,OFFLINE_OVERLAY_INGESTED_20260702
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529|GOLD#2026.03.06T09:47:51#58,ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,100000,BASKETCLOSE_KILL,M5_REVERSE_WARNING,-1078.00,400.00,-1478.00,HTE=false;REC=false;BC=false,gate_m15_reverse_confirmed;gate_market_state_valid,false,OFFLINE_OVERLAY_INGESTED_20260702
